timestamp,unallocated_torque[0],unallocated_torque[1],unallocated_torque[2],unallocated_thrust[0],unallocated_thrust[1],unallocated_thrust[2],handled_motor_failure_mask,torque_setpoint_achieved,thrust_setpoint_achieved,actuator_saturation[0],actuator_saturation[1],actuator_saturation[2],actuator_saturation[3],actuator_saturation[4],actuator_saturation[5],actuator_saturation[6],actuator_saturation[7],actuator_saturation[8],actuator_saturation[9],actuator_saturation[10],actuator_saturation[11],actuator_saturation[12],actuator_saturation[13],actuator_saturation[14],actuator_saturation[15]
641167559,5.5879354e-09,-1.8626451e-08,8.614734e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
641371333,1.3038516e-08,-4.284084e-08,-8.8475645e-09,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
641566330,1.2223609e-08,-5.401671e-08,-1.3969839e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
641765103,2.188608e-08,-3.0733645e-08,3.7718564e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
641967560,1.6298145e-08,-3.1664968e-08,3.7252903e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
642170106,7.21775e-09,-2.2351742e-08,2.6077032e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
642367565,5.6810677e-08,-3.3527613e-08,1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
642571331,3.0733645e-08,-2.9802322e-08,3.5390258e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
642766336,4.7963113e-08,-3.3527613e-08,3.7252903e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
642967560,2.2584572e-08,-1.6763806e-08,7.450581e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
643166303,1.990702e-08,-2.7939677e-08,2.9802322e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
643365102,3.8184226e-08,-1.21071935e-08,2.9802322e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
643571311,-1.8335413e-08,-2.142042e-08,1.8626451e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
643771339,1.3154931e-08,-2.6077032e-08,3.7252903e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
643967559,2.1536835e-09,-2.0489097e-08,2.9802322e-08,0.0,0.0,5.9604645e-08,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
644171313,4.1211024e-08,-3.5390258e-08,3.1664968e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
644365107,2.3283064e-08,-1.3038516e-08,-4.656613e-09,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
644566322,3.632158e-08,-3.8184226e-08,1.4901161e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
644763810,-9.313226e-10,-2.4214387e-08,2.6077032e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
644972563,2.3865141e-08,-3.5390258e-08,1.1175871e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
645168809,3.7718564e-08,-5.2154064e-08,1.094304e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
645368809,4.1909516e-08,-1.8626451e-08,5.005859e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
645567559,2.9336661e-08,-2.9802322e-08,-1.0011718e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
645766330,3.7252903e-08,-5.5879354e-08,1.3969839e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
645966309,-0.27927846,0.0,-0.127375,0.0,0.0,-0.3283636,0,0,0,0,0,-2,2,2,2,2,2,2,2,2,2,2,2,2,2
646166311,-0.8276784,-0.19938952,-1.0601621,0.0,0.0,-0.5,0,0,0,-2,2,-2,2,2,2,2,2,2,2,2,2,2,2,2,2
646370106,-0.8293382,-5.9604645e-08,-0.6063594,0.0,0.0,-0.17950204,0,0,0,2,-2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
646570099,2.9802322e-08,-3.7252903e-08,7.8231096e-08,0.0,0.0,0.0,0,1,1,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
646768809,0.0,5.5879354e-08,0.0,0.0,0.0,-0.287517,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
646968813,2.9802322e-08,-5.9604645e-08,0.051267892,0.0,0.0,-0.54593766,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
647166310,5.9604645e-08,0.0,0.05017279,0.0,0.0,-0.5452393,0,0,0,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2
647366310,0.024805903,5.9604645e-08,0.087755874,0.0,0.0,-0.60379666,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
647563812,0.002382189,0.0,0.12500852,0.0,0.0,-0.5427426,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
647772564,0.014599562,2.9802322e-08,0.13543932,0.0,0.0,-0.5599375,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
647971323,0.018636823,-1.4901161e-08,0.2763934,0.0,0.0,-0.5403821,0,0,0,0,2,0,-2,2,2,2,2,2,2,2,2,2,2,2,2
