timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
643646287,643646187,0.0,0.0,-0.5197755
643648785,643648687,0.0,0.0,-0.5202921
643652538,643652438,0.0,0.0,-0.5202921
643656287,643656188,0.0,0.0,-0.5202921
643660080,643659979,0.0,0.0,-0.5201313
643663779,643663687,0.0,0.0,-0.5201313
643666301,643666210,0.0,0.0,-0.5201313
643670079,643669980,0.0,0.0,-0.5200674
643673787,643673687,0.0,0.0,-0.5200674
643677536,643677437,0.0,0.0,-0.52007365
643681310,643681211,0.0,0.0,-0.52007365
643683787,643683687,0.0,0.0,-0.52007365
643687536,643687437,0.0,0.0,-0.51971066
643691290,643691188,0.0,0.0,-0.51971066
643695080,643694980,0.0,0.0,-0.51971066
643698786,643698687,0.0,0.0,-0.5189847
643701281,643701188,0.0,0.0,-0.5189847
643705080,643704978,0.0,0.0,-0.5189847
643708784,643708687,0.0,0.0,-0.5191132
643712538,643712438,0.0,0.0,-0.5191132
643716278,643716187,0.0,0.0,-0.5191132
643718786,643718687,0.0,0.0,-0.51898956
643722536,643722437,0.0,0.0,-0.51898956
643726309,643726210,0.0,0.0,-0.51898956
643730082,643729982,0.0,0.0,-0.5187713
643733788,643733687,0.0,0.0,-0.5187713
643736287,643736188,0.0,0.0,-0.5187713
643740079,643739980,0.0,0.0,-0.5197145
643743788,643743687,0.0,0.0,-0.5197145
643747528,643747437,0.0,0.0,-0.5190564
643751280,643751188,0.0,0.0,-0.5190564
643753786,643753687,0.0,0.0,-0.5190564
643757537,643757438,0.0,0.0,-0.519677
643761288,643761188,0.0,0.0,-0.519677
643765084,643764979,0.0,0.0,-0.519677
643768785,643768687,0.0,0.0,-0.5190891
643771309,643771210,0.0,0.0,-0.5190891
643775083,643774980,0.0,0.0,-0.5190891
643778787,643778687,0.0,0.0,-0.5196822
643782544,643782437,0.0,0.0,-0.5196822
643786308,643786210,0.0,0.0,-0.5196822
643788785,643788687,0.0,0.0,-0.52069676
643792536,643792437,0.0,0.0,-0.52069676
643796287,643796188,0.0,0.0,-0.52069676
643800089,643799980,0.0,0.0,-0.51957625
643803787,643803688,0.0,0.0,-0.51957625
643806290,643806188,0.0,0.0,-0.51957625
643810077,643809979,0.0,0.0,-0.5199639
643813779,643813687,0.0,0.0,-0.5199639
643817537,643817437,0.0,0.0,-0.5196835
643821291,643821188,0.0,0.0,-0.5196835
643823787,643823687,0.0,0.0,-0.5196835
643827536,643827437,0.0,0.0,-0.5192279
643831310,643831211,0.0,0.0,-0.5192279
643835080,643834979,0.0,0.0,-0.5192279
643838786,643838687,0.0,0.0,-0.5190414
643841289,643841188,0.0,0.0,-0.5190414
643845080,643844980,0.0,0.0,-0.5190414
643848785,643848687,0.0,0.0,-0.5187451
643852536,643852437,0.0,0.0,-0.5187451
643856287,643856188,0.0,0.0,-0.5187451
643858785,643858687,0.0,0.0,-0.5185346
643862541,643862440,0.0,0.0,-0.5185346
643866280,643866188,0.0,0.0,-0.5185346
643870076,643869979,0.0,0.0,-0.51855093
643873788,643873687,0.0,0.0,-0.51855093
643876307,643876210,0.0,0.0,-0.51855093
643880081,643879980,0.0,0.0,-0.5184193
643883787,643883688,0.0,0.0,-0.5184193
643887536,643887437,0.0,0.0,-0.51871383
643891312,643891211,0.0,0.0,-0.51871383
643893787,643893687,0.0,0.0,-0.51871383
643897528,643897437,0.0,0.0,-0.51823175
643901285,643901188,0.0,0.0,-0.51823175
643905079,643904980,0.0,0.0,-0.51823175
643908789,643908687,0.0,0.0,-0.51835877
643911287,643911188,0.0,0.0,-0.51835877
643915082,643914978,0.0,0.0,-0.51835877
643918785,643918687,0.0,0.0,-0.51818633
643922537,643922438,0.0,0.0,-0.51818633
643926286,643926188,0.0,0.0,-0.51818633
643928786,643928687,0.0,0.0,-0.51880926
643932536,643932437,0.0,0.0,-0.51880926
643936308,643936210,0.0,0.0,-0.51880926
643940081,643939979,0.0,0.0,-0.5184258
643943787,643943687,0.0,0.0,-0.5184258
643946280,643946188,0.0,0.0,-0.5184258
643950086,643949980,0.0,0.0,-0.5177627
643953787,643953687,0.0,0.0,-0.5177627
