timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
646755900,646729756,4395041,-1.1297791,-0.016249396,-1.8813591,3
646805903,646804756,4395041,-0.9862142,0.04000935,-1.6181345,3
646905925,646879765,4395041,-0.85130644,0.10170771,-1.792732,3
646955900,646954756,4395041,-0.69882697,0.16675486,-1.4710262,3
647055899,647029756,4395041,-0.72589695,0.16530088,-1.4871402,3
647105904,647104757,4395041,-0.75275415,0.14906685,-1.5274997,3
647205903,647179756,4395041,-0.7018434,0.11102441,-1.5142064,3
647255918,647254774,4395041,-0.75569195,0.081797265,-1.5309204,3
647355899,647329756,4395041,-0.696123,0.07299777,-1.443209,3
647405903,647404756,4395041,-0.73406774,0.081246465,-1.4899806,3
647505904,647479756,4395041,-0.69625145,0.086175814,-1.4538729,3
647555899,647554756,4395041,-0.6801013,0.09153022,-1.4424423,3
647655899,647629766,4395041,-0.6908933,0.08974777,-1.4396079,3
647705903,647704756,4395041,-0.7197163,0.084784776,-1.482873,3
647805904,647779756,4395041,-0.70170504,0.088326655,-1.4814942,3
647855899,647854756,4395041,-0.69789666,0.06942854,-1.4622221,3
647955919,647929765,4395041,-0.72564095,0.07762526,-0.80983794,3
648005903,648004756,4395041,-0.26914,0.049043298,-0.40091679,3
648105904,648079756,4395041,-0.34683788,0.0613015,-0.429434,3
648155899,648154756,4395041,-0.24009681,0.03398626,-0.4269822,3
648255900,648229756,4395041,-0.23485906,0.05266901,-0.4314631,3
648305924,648304774,4395041,-0.22579381,0.048869666,-0.43594182,3
648405905,648379756,4395041,-0.2330576,0.05261765,-0.42735496,3
648455899,648454756,4395041,-0.23305918,0.052652378,-0.4316004,3
648555899,648529756,4395041,-0.22935563,0.04324551,-0.42952645,3
648605904,648604756,4395041,-0.22930065,0.037650928,-0.43159783,3
648705903,648679765,4395041,-0.23473008,0.03954129,-0.4271322,3
648755899,648754756,4395041,-0.23294123,0.041392874,-0.4271826,3
648855899,648829756,4395041,-0.23109645,0.037683867,-0.4335131,3
648905905,648904756,4395041,-0.23291408,0.037654344,-0.42728662,3
649005926,648979765,4395041,-0.2493038,0.052765626,-0.42465958,3
649055899,649054757,4395041,-0.24016085,0.041466,-0.42691258,3
649155899,649129756,4395041,-0.24747856,0.050893344,-0.4267977,3
649205903,649204756,4395041,-0.2438449,0.048984706,-0.42684636,3
649305904,649279756,4395041,-0.22207421,0.03759309,-0.43388587,3
649355918,649354774,4395041,-0.2256404,0.033903882,-0.43573385,3
649455900,649429756,4395041,-0.22566456,0.03579287,-0.43794447,3
649505903,649504756,4395041,-0.21849854,0.04127975,-0.4318977,3
649605903,649579756,4395041,-0.21848588,0.039445024,-0.43619633,3
649655899,649654756,4395041,-0.21843486,0.03383436,-0.43621516,3
649755899,649729766,4395041,-0.21131942,0.044982933,-0.43648273,3
649805903,649804756,4395041,-0.2148156,0.033795387,-0.43620926,3
649905904,649879756,4395041,-0.21308325,0.041276053,-0.43843374,3
649955899,649954756,4395041,-0.21124634,0.037466817,-0.43220314,3
650055918,650029765,4395041,-0.20949763,0.043077506,-0.43444526,3
650105904,650104756,4395041,-0.2113217,0.04498369,-0.43651798,3
650205903,650179756,4395041,-0.20952246,0.044933,-0.4324442,3
650255897,650254756,4395041,-0.20406371,0.04113483,-0.43250757,3
650355899,650329756,4395041,-0.20589119,0.043007832,-0.43040437,3
650405924,650404774,4395041,-0.20417513,0.052358266,-0.43261078,3
