timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,wheel_rate_integ
650911577,0.24913947,0.15026562,-0.004364787,0.0
650929082,0.2504411,0.14876455,-0.004342126,0.0
650950330,0.25434518,0.14694095,-0.004263296,0.0
650971576,0.25738,0.14508691,-0.004471719,0.0
650991576,0.2604142,0.14325835,-0.0047847517,0.0
651009077,0.2604142,0.14154658,-0.0047847517,0.0
651030325,0.2604142,0.13929725,-0.0047847517,0.0
651051576,0.2669195,0.13685448,-0.005671086,0.0
651069084,0.27298993,0.13474445,-0.006403482,0.0
651090328,0.2803595,0.13211806,-0.0070804674,0.0
651111576,0.28773016,0.12949711,-0.0074853725,0.0
651131576,0.29467043,0.12707257,-0.007659707,0.0
651149083,0.29987723,0.12498396,-0.007729441,0.0
651170326,0.29987723,0.12251059,-0.0078371735,0.0
651191576,0.29987723,0.12028633,-0.0078371735,0.0
651209078,0.29987723,0.11836978,-0.0078371735,0.0
651230325,0.29987723,0.11589236,-0.0078371735,0.0
651251577,0.29987723,0.11325692,-0.0078371735,0.0
651271576,0.29987723,0.11066229,-0.0078371735,0.0
651289075,0.29987723,0.108326375,-0.0078371735,0.0
651310326,0.29987723,0.10544848,-0.0078371735,0.0
651331576,0.29987723,0.102541134,-0.0078371735,0.0
651349076,0.29987723,0.10013407,-0.0078371735,0.0
651370326,0.3,0.09719023,-0.008460722,0.0
651391577,0.3,0.09422269,-0.008460722,0.0
651411576,0.3,0.091403306,-0.008460722,0.0
651429079,0.3,0.088905424,-0.008460722,0.0
651450327,0.3,0.08582895,-0.008460722,0.0
651471575,0.3,0.08268754,-0.008460722,0.0
651489076,0.3,0.08004348,-0.008460722,0.0
651510324,0.3,0.07673177,-0.008460722,0.0
651531575,0.3,0.073298655,-0.008460722,0.0
651551577,0.3,0.069968335,-0.008460722,0.0
651569080,0.3,0.066996425,-0.008460722,0.0
651590326,0.3,0.063379414,-0.008460722,0.0
651611576,0.3,0.059789848,-0.008460722,0.0
651629084,0.3,0.056870382,-0.008460722,0.0
651650328,0.3,0.05335507,-0.008460722,0.0
651671577,0.3,0.049819797,-0.008460722,0.0
651691575,0.3,0.04643883,-0.008460722,0.0
651709079,0.3,0.043394033,-0.008460722,0.0
651730326,0.3,0.039564285,-0.008460722,0.0
651751576,0.3,0.035593327,-0.008460722,0.0
651769078,0.3,0.03224545,-0.008460722,0.0
651790327,0.3,0.028146116,-0.008460722,0.0
651811576,0.3,0.024034536,-0.008460722,0.0
651831576,0.3,0.020177774,-0.008460722,0.0
651849076,0.3,0.016808646,-0.008460722,0.0
651870325,0.3,0.012712845,-0.008460722,0.0
651891576,0.3,0.008590879,-0.008460722,0.0
651909077,0.3,0.0051580775,-0.008460722,0.0
651930329,0.3,0.0009241869,-0.008460722,0.0
651951576,0.3,-0.003389376,-0.008460722,0.0
651971575,0.3,-0.0075116577,-0.008460722,0.0
651989075,0.3,-0.011170486,-0.008460722,0.0
