timestamp,position[0],position[1],position[2],velocity[0],velocity[1],velocity[2],acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],yaw,yawspeed
650763168,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4416571,1e-45
650963168,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.442972,1e-45
651163172,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
651363162,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
651563169,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
651763247,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
651963166,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
652163171,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
652363166,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
652563192,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
652763193,-0.8221011,2.7407663,-0.19926162,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,1.4060885,1e-45
652963180,nan,nan,-0.41995037,0.35086265,-0.16210034,0.0,-0.57762635,0.27404296,0.0,nan,nan,0.0,1.4109457,1e-45
653163261,nan,nan,-0.6007623,0.41530073,-0.11738818,0.0,-1.2345825,0.348965,0.0,nan,nan,0.0,-1.9294578,1e-45
653363184,nan,nan,-0.75138867,0.47005358,-0.08194981,0.0,-1.3269141,0.23133607,0.0,nan,nan,0.0,-1.9345345,1e-45
653563188,nan,nan,-0.87252015,0.57934177,-0.05793729,0.0,-1.4766872,0.14767666,0.0,nan,nan,0.0,-1.9417847,1e-45
653763254,nan,nan,-0.96214503,0.7199464,-0.03973909,0.0,-1.6450585,0.09080277,0.0,nan,nan,0.0,-1.949349,1e-45
