timestamp,timestamp_sample,roll,pitch,yaw,throttle,flaps,aux1,aux2,aux3,aux4,aux5,aux6,buttons,valid,data_source,sticks_moving
638508902,638507785,0.0,-0.0,0.0,0.40454552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638530589,638529593,0.0,-0.0,0.0,0.38409096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638552302,638551227,0.0,-0.0,0.0,0.32500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638573998,638573012,0.0,-0.0,0.0,0.31590915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638595660,638594688,0.0,-0.0,0.0,0.28863642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638617481,638616470,0.0,-0.0,0.0,0.27500007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638639255,638638231,0.0,-0.0,0.0,0.2636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638660833,638659869,0.0,-0.0,0.0,0.25227278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638690768,638689782,0.0,-0.0,0.0,0.22954552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638713035,638711933,0.0,-0.0,0.0,0.21818188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638755425,638754451,0.0,-0.0,0.0,0.20227279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638777107,638776118,0.0,-0.0,0.0,0.18181825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638798936,638797749,0.0,-0.0,0.0,0.16590916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638820564,638819595,0.0,-0.0,0.0,0.13181823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638842178,638841206,0.0,-0.0,0.0,0.12045461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638864024,638863045,0.0,-0.0,0.0,0.102272786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
638885744,638884764,0.0,-0.0,0.0,0.0954546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1
