timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
648605883,648604756,4395041,-0.25695637,0.033516046,-0.47839594,nan,0
648705883,648704756,4395041,-0.26066998,0.033514712,-0.47825894,nan,0
648805883,648804757,4395041,-0.26066998,0.033514712,-0.48234662,nan,0
648905883,648904756,4395041,-0.26068038,0.033516046,-0.47430712,nan,0
649005900,649004774,4395041,-0.27557087,0.048411097,-0.47423914,nan,0
649105883,649104756,4395041,-0.27557087,0.04096324,-0.47423914,nan,0
649205883,649204756,4395041,-0.27184153,0.044686276,-0.47417125,nan,0
649305883,649304756,4395041,-0.24577941,0.037239306,-0.47832742,nan,0
649405883,649404757,4395041,-0.25695637,0.033516046,-0.48248482,nan,0
649505882,649504756,4395041,-0.24577455,0.037238568,-0.47825894,nan,0
649605882,649604756,4395041,-0.24578921,0.037240792,-0.48255396,nan,0
649705901,649704775,4395041,-0.23833632,0.03724005,-0.48248482,nan,0
649805882,649804756,4395041,-0.24205549,0.029791445,-0.48241568,nan,0
649905883,649904756,4395041,-0.24206033,0.04096406,-0.48657367,nan,0
650005883,650004756,4395041,-0.23833632,0.03724005,-0.48248482,nan,0
650105883,650104756,4395041,-0.23833632,0.04096406,-0.48248482,nan,0
650205882,650204756,4395041,-0.23834106,0.044688947,-0.47846454,nan,0
650305883,650304756,4395041,-0.23461233,0.04096406,-0.47839594,nan,0
650405900,650404774,4395041,-0.2308837,0.048411097,-0.47832742,nan,0
650505883,650504756,4395041,-0.2308975,0.040965684,-0.48262313,nan,0
650605883,650604756,4395041,-0.23460297,0.040962424,-0.47417125,nan,0
650705883,650704756,4395041,-0.2308837,0.04096324,-0.48650396,nan,0
650805883,650804757,4395041,-0.23088832,0.04096406,-0.47839594,nan,0
650905882,650904756,4395041,-0.23088832,0.04096406,-0.47839594,nan,0
651005883,651004756,4395041,-0.22715525,0.037238568,-0.47825894,nan,0
651105901,651104775,4395041,-0.23088832,0.03724005,-0.48248482,nan,0
651205883,651204756,4395041,-0.23461233,0.04096406,-0.48248482,nan,0
651305883,651304756,4395041,-0.2308929,0.040964868,-0.47846454,nan,0
651405882,651404756,4395041,-0.23461233,0.04468806,-0.48248482,nan,0
651505883,651504756,4395041,-0.23460764,0.037239306,-0.47832742,nan,0
651605883,651604756,4395041,-0.23461698,0.044688947,-0.48255396,nan,0
651705883,651704756,4395041,-0.22715525,0.037238568,-0.48234662,nan,0
651805901,651804775,4395041,-0.23461698,0.040964868,-0.47846454,nan,0
651905883,651904756,4395041,-0.23088832,0.04096406,-0.48248482,nan,0
652005883,652004756,4395041,-0.23460764,0.037239306,-0.47423914,nan,0
652105883,652104756,4395041,-0.23460297,0.040962424,-0.48234662,nan,0
652205883,652204756,4395041,-0.22715977,0.037239306,-0.48241568,nan,0
652305883,652304756,4395041,-0.2308929,0.033516712,-0.48255396,nan,0
652405882,652404756,4395041,-0.2308837,0.037239306,-0.48241568,nan,0
652505901,652504775,4395041,-0.23088832,0.04468806,-0.47839594,nan,0
652605883,652604756,4395041,-0.2308837,0.04096324,-0.48241568,nan,0
652705883,652704756,4395041,-0.2308929,0.037240792,-0.47846454,nan,0
652805882,652804756,4395041,-0.23088832,0.04468806,-0.48248482,nan,0
652905884,652904757,4395041,-0.23087911,0.040962424,-0.48234662,nan,0
653005884,653004757,4395041,-0.23088832,0.04096406,-0.48657367,nan,0
653105883,653104757,4395041,-0.2308837,0.04096324,-0.47832742,nan,0
653205908,653204778,4395041,-0.23088832,0.04468806,-0.47839594,nan,0
653305883,653304757,4395041,-0.23088832,0.04096406,-0.48657367,nan,0
653405883,653404757,4395041,-0.22715977,0.044687167,-0.47832742,nan,0
653505883,653504757,4395041,-0.22715977,0.044687167,-0.48650396,nan,0
653605883,653604757,4395041,-0.2308837,0.04096324,-0.48241568,nan,0
653705883,653704757,4395041,-0.2308837,0.04096324,-0.48650396,nan,0
